headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Ազգաբան			s.	genealogist.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգաբանական			a.	genealogical.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգաբանեմ		եցի	va.	to draw or write a genealogy, to number ancestors.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգաբանութիւն			s.	genealogy.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգ ազգ, Ազգի ազգի			s.	many nations, many people; various, different, manifold.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգի ազգի			s. a.	many nations, many people; various, different, manifold.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգագով			a.	admirer of his country, who praises his country.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգադաւ, Ազգադրուժ			a.	who betrays his country.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգադրուժ			a.	who betrays his country.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգադղրդ			a.	who shakes, overthrows, upsets the nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգութիւն			s.	relation; genealogy; lineage.; nationality.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգաժողով			a.	united by nationality; national assembly.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգախառն			a.	relation, consanguineous.; [consanguinity.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգախառնութիւն			s.	relationship, [consanguinity.; relationship,	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգախռով			a.	who agitates, disturbs the nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգածանօթ			a.	known by the nation; known to the nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգական			s.	relation, kinsman or kinswoman; like, analogous.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգականութիւն			s.	relationship, consanguinity, kin, cognation; race, family; likeness, analogy	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգականուհի			sf.	kinswoman.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգակեղծ			a.	who hides or dissimulates his nationality.; [his nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգակեցոյց			a.	who rescues, liberates [his nation.; who rescues, liberates	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգակից			s.	parent, compatriot; national, of the same nation; allied to, near, like, similar, analogous.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգակցիմ		եցայ	vn.	to make alliance by marriage.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգակցութիւն			s.	consanguinity; affinity, alliance by marriage; analogy, likeness, resemblance.; consanguinity: affinity, alliance by marriage: analogy, likeness, resemblance.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգահամար			s.	census; enumeration	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգահատութիւն			s.	extinction of a nation, race.; [or race.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգահաւ			s.	chief, father of a nation [or race.; chief, father of a nation	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգային			a.	national; related, allied to by marriage; parent, relation; national: related, allied to by marriage	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգայօդ			a.	which unites the nation; national tie.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգանուէր			a.	devoted to the nation; offered by the nation.; [nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգապանծ			a.	who is proud of his [nation.; who is proud of his	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգապետ			s.	chief, governor of a nation or family.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգապետութիւն			s.	charge or office of a governor of the people.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգապիղծ			a.	incestuous.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգապղծութիւն			s.	incest.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգասէր			a.	loving his country or nation, patriotic.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգասիրութիւն			s.	attachment to his country or nation, patriotism.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգավայել			a.	worthy or becoming to the nation.; [mily or race.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգատ առնել			va.	to extirpate a family or race.; to extirpate a fa-	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգատեաց			a.	who hates his nation.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգատեցութիւն			s.	hatred of one's nation.; [tion, progeny.	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
Ազգատոհմ			s.	family, house, generation, progeny.; family, house, genera-	dict-037.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf16.jpg
