headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Աբանդ			Abande	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աբդերա			Abdera	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աբիւդոս			Abydos	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աբրահամեանք			Descendants or followers of Abraham	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ագուլիս			Akoolis	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ագրականդ			Agrigentum	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ադրիա			Adria; Hadria	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ադրիական			the Adriatic	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ադրիանուպօլիս			Adrianople	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աթենացի			Athenian	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աթէնք			Athens	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աթոս			Athos	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աժտէրխան			Astrakhan	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալաման			Germany; Deutschland	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալանք			Alani	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալզաս			Alsatia	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալիս			Halys	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալճէրի			Algiers	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալպանիա			Albania; Arnaootleek	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալպեան			Alpian	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ալպիոն			Albion	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ախերոն				dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ախուրեան			Akhoorian	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ակառնանիա			Acarnania	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ակոռի			Agory	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ակուիտանիա			Aquitain	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղափ			Asoph	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղբակ			Albach	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղեքսանդրիա			Alexandria	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղթամար			Aghthamar	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղիկառնիա			Halicarnassus	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղձնիք			Alznick; Alznia	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Աղուան			Albanese	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
Ամազոնք			Amazons	dict-813.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf404.jpg	appendix
